"exam_id","student_id","subj_id","mark","exam_date"
791,177,2,3,2000-06-22
792,177,11,4,2000-06-07
793,177,7,1,2000-06-04
794,177,14,5,2000-02-14
795,177,11,5,2000-01-05
796,178,7,3,2000-05-19
797,178,3,1,2000-04-21
798,178,5,5,2000-01-01
799,179,10,1,2000-03-29
800,180,2,2,2000-03-28
801,180,6,1,2000-05-13
802,180,13,2,2000-06-11
803,180,10,5,2000-06-07
804,180,8,3,2000-04-29
805,180,11,5,2000-04-23
806,180,3,3,2000-04-26
807,180,2,3,2000-01-27
808,181,8,3,2000-01-20
809,182,4,3,2000-01-19
810,182,14,4,2000-05-26
811,182,9,4,2000-03-15
812,182,1,4,2000-02-13
813,182,5,1,2000-02-05
814,182,1,1,2000-02-28
815,182,13,2,2000-03-19
816,183,4,1,2000-04-04
817,183,5,4,2000-01-27
818,183,7,5,2000-04-18
819,183,1,1,2000-05-03
820,183,13,4,2000-04-20
821,184,10,3,2000-05-21
822,184,6,3,2000-02-17
823,184,11,2,2000-06-07
824,185,9,1,2000-01-29
825,185,7,5,2000-01-28
826,185,1,2,2000-03-02
827,186,4,2,2000-03-01
828,186,6,3,2000-03-01
829,186,2,1,2000-06-26
830,186,11,4,2000-03-03
831,186,8,2,2000-04-04
832,186,14,5,2000-04-29
833,186,12,2,2000-03-01
834,187,2,1,2000-05-17
835,187,2,3,2000-04-23
836,187,7,4,2000-04-28
837,187,12,1,2000-04-22
838,187,6,3,2000-05-05
839,187,11,5,2000-01-07
840,188,1,2,2000-02-24
841,188,4,1,2000-05-09
842,188,7,5,2000-05-22
843,188,8,1,2000-01-12
844,188,14,4,2000-04-07
845,189,10,4,2000-06-19
846,190,6,3,2000-04-26
847,190,10,1,2000-02-28
848,190,11,2,2000-01-22
849,190,1,3,2000-01-21
850,190,5,5,2000-03-06
851,190,12,2,2000-04-07
852,190,4,4,2000-04-05
853,190,5,4,2000-06-08
854,191,12,4,2000-06-18
855,191,3,2,2000-05-12
856,192,13,1,2000-06-22
857,192,2,3,2000-02-01
858,192,4,1,2000-04-15
859,192,11,3,2000-01-16
860,192,5,1,2000-03-12
861,192,5,5,2000-03-04
862,192,11,2,2000-02-24
863,193,12,4,2000-06-01
864,193,2,2,2000-02-25
865,193,8,4,2000-03-20
866,193,5,2,2000-02-02
867,193,9,3,2000-01-31
868,193,2,4,2000-04-22
869,193,12,3,2000-04-18
870,193,11,1,2000-02-25
871,194,10,4,2000-05-15
872,194,10,1,2000-06-06
873,195,10,5,2000-04-06
874,195,12,3,2000-02-17
875,195,7,1,2000-04-06
876,195,8,1,2000-05-05
877,195,10,3,2000-05-05
878,195,12,2,2000-04-08
879,195,6,2,2000-06-27
880,195,10,3,2000-01-16
881,196,11,1,2000-03-06
882,196,12,4,2000-03-20
883,196,12,3,2000-04-26
884,196,2,3,2000-02-02
885,196,1,2,2000-06-26
886,196,14,1,2000-01-26
887,197,14,3,2000-06-22
888,197,6,1,2000-02-25
889,197,12,1,2000-03-09
890,197,11,1,2000-02-03
891,197,4,1,2000-04-25
892,197,14,2,2000-04-29
893,197,11,1,2000-04-28
894,197,7,2,2000-03-31
895,198,9,1,2000-06-24
896,198,6,1,2000-06-14
897,199,13,4,2000-06-22
898,199,10,2,2000-04-10
899,199,14,2,2000-06-11
900,199,11,5,2000-03-23
901,200,7,2,2000-03-12
902,200,8,4,2000-03-29
903,200,9,1,2000-05-22
904,200,2,2,2000-02-06
905,200,5,2,2000-05-21
906,200,13,1,2000-02-09
907,200,5,3,2000-01-27
908,200,2,1,2000-01-27
909,201,11,2,2000-01-06
910,201,10,3,2000-05-27
911,201,13,5,2000-05-20
912,201,13,2,2000-01-09
913,201,5,4,2000-02-23
914,201,8,1,2000-05-19
915,201,7,5,2000-01-20
916,201,5,2,2000-06-17
917,202,14,4,2000-02-21
918,202,13,2,2000-05-24
919,202,10,5,2000-04-23
920,202,12,1,2000-03-15
921,202,4,3,2000-02-16
922,202,7,3,2000-03-16
923,202,3,5,2000-05-17
924,203,5,5,2000-05-25
925,203,4,4,2000-04-23
926,203,7,4,2000-03-14
927,203,9,5,2000-04-15
928,203,4,4,2000-05-06
929,204,12,3,2000-02-28
930,204,5,5,2000-06-07
931,204,4,5,2000-01-23
932,204,1,1,2000-03-30
933,204,10,4,2000-01-20
934,204,11,5,2000-04-19
935,205,8,3,2000-02-22
936,206,12,1,2000-06-02
937,206,14,4,2000-05-05
938,206,8,1,2000-05-09
939,206,6,5,2000-04-17
940,206,14,1,2000-02-22
941,206,9,4,2000-02-22
942,207,14,3,2000-01-16
943,207,3,4,2000-02-03
944,207,1,2,2000-02-23
486,108,3,5,2000-05-22
487,108,11,4,2000-06-10
488,108,7,2,2000-01-27
489,109,13,3,2000-03-21
490,109,12,1,2000-05-29
491,109,3,4,2000-04-01
492,109,8,5,2000-05-02
493,109,7,3,2000-04-28
494,109,3,3,2000-02-01
495,109,14,4,2000-05-20
496,109,8,4,2000-03-06
497,110,13,4,2000-01-29
498,110,10,5,2000-05-02
499,110,7,2,2000-02-24
500,110,9,4,2000-01-26
501,111,9,2,2000-04-28
502,111,2,4,2000-04-02
503,111,6,2,2000-03-16
504,111,4,3,2000-04-01
505,111,13,4,2000-06-07
506,112,10,5,2000-02-26
507,112,9,4,2000-04-04
508,112,12,2,2000-04-30
509,112,7,4,2000-01-21
510,112,9,3,2000-04-11
511,112,3,2,2000-05-15
512,113,10,4,2000-02-05
513,113,9,1,2000-01-24
514,113,10,1,2000-03-27
515,113,2,2,2000-06-28
516,114,13,3,2000-05-22
517,114,7,4,2000-05-17
518,114,14,4,2000-03-26
519,114,4,2,2000-01-08
520,114,14,5,2000-01-28
521,114,10,1,2000-05-26
522,114,13,2,2000-06-28
523,114,6,4,2000-02-11
524,115,12,2,2000-01-05
525,115,11,2,2000-01-16
526,115,14,3,2000-02-11
527,116,8,2,2000-06-27
528,116,7,1,2000-06-15
529,116,12,5,2000-05-07
530,117,13,4,2000-01-17
531,117,4,5,2000-01-16
532,118,4,4,2000-02-08
533,118,3,1,2000-01-13
534,118,10,5,2000-03-08
535,118,10,1,2000-03-23
536,118,1,2,2000-03-07
537,118,2,2,2000-06-26
538,118,13,3,2000-01-11
539,118,10,4,2000-01-02
540,119,3,2,2000-05-08
541,119,5,5,2000-01-01
542,120,2,1,2000-01-16
543,120,14,4,2000-05-07
544,121,14,4,2000-06-25
545,121,4,4,2000-05-27
546,121,1,4,2000-02-04
547,121,11,2,2000-05-29
548,121,5,2,2000-03-05
549,121,4,2,2000-03-08
550,121,11,1,2000-04-01
551,121,14,3,2000-02-16
552,122,1,3,2000-01-04
553,123,4,1,2000-01-04
554,123,11,1,2000-01-14
555,123,9,1,2000-01-23
556,123,11,5,2000-02-10
557,123,6,4,2000-05-21
558,124,2,3,2000-03-24
559,124,10,2,2000-02-14
560,124,4,2,2000-03-23
561,124,9,5,2000-05-15
562,124,13,5,2000-01-30
563,124,12,2,2000-01-22
564,124,10,1,2000-02-18
565,124,11,5,2000-06-20
566,125,8,5,2000-03-17
567,125,8,4,2000-03-13
568,125,8,3,2000-05-11
569,125,8,5,2000-03-02
570,125,13,1,2000-05-02
571,126,5,2,2000-02-05
572,126,8,5,2000-05-07
573,127,7,1,2000-05-19
574,127,10,3,2000-05-26
575,127,12,2,2000-04-06
576,127,6,5,2000-02-25
577,127,7,2,2000-01-13
578,127,13,3,2000-05-27
579,127,4,5,2000-06-11
580,127,3,4,2000-02-17
581,128,3,2,2000-03-23
582,128,12,3,2000-04-25
583,128,14,2,2000-04-24
584,129,2,2,2000-01-15
585,130,9,5,2000-01-24
586,130,1,2,2000-02-19
587,130,8,2,2000-04-18
588,130,7,4,2000-02-05
589,131,5,1,2000-05-02
590,131,9,3,2000-03-11
591,132,10,5,2000-03-30
592,132,6,5,2000-04-06
593,133,13,2,2000-04-09
594,134,13,1,2000-01-11
595,134,11,2,2000-04-19
596,134,4,1,2000-01-26
597,134,3,2,2000-06-06
598,135,7,1,2000-02-26
599,135,11,3,2000-06-15
600,135,2,4,2000-05-21
601,135,12,5,2000-02-16
602,135,7,3,2000-05-03
603,135,11,4,2000-06-17
604,136,3,5,2000-05-20
605,137,6,2,2000-03-30
606,137,13,3,2000-06-17
607,137,6,1,2000-03-31
608,137,11,2,2000-03-06
609,138,5,4,2000-01-27
610,138,5,4,2000-04-13
611,138,12,2,2000-04-18
612,138,4,1,2000-02-29
613,138,9,2,2000-03-22
614,138,14,4,2000-06-18
615,139,3,3,2000-06-12
616,139,13,4,2000-06-07
617,139,11,3,2000-02-11
618,139,14,2,2000-06-07
619,139,6,5,2000-03-22
620,140,4,4,2000-05-24
621,140,3,5,2000-03-25
622,140,7,2,2000-03-05
623,140,2,5,2000-05-26
624,140,11,4,2000-03-20
625,141,13,4,2000-06-07
626,141,4,1,2000-04-04
627,141,2,1,2000-04-21
628,141,2,5,2000-01-23
629,141,12,5,2000-04-26
630,142,9,3,2000-01-06
631,142,7,1,2000-02-28
632,142,11,4,2000-06-15
633,142,14,1,2000-01-17
634,142,2,5,2000-04-25
635,142,7,3,2000-03-27
636,143,2,3,2000-01-06
637,143,1,1,2000-06-28
638,143,6,5,2000-03-20
639,143,14,1,2000-01-02
640,143,6,3,2000-01-05
641,143,3,1,2000-05-28
642,144,11,3,2000-02-12
643,144,13,5,2000-02-06
644,144,12,3,2000-05-28
645,144,3,3,2000-01-12
646,144,12,3,2000-05-25
647,144,10,3,2000-03-22
648,145,4,4,2000-01-30
649,145,7,5,2000-03-14
650,145,7,3,2000-02-15
651,145,13,5,2000-06-06
652,146,4,3,2000-06-04
653,146,7,5,2000-04-19
654,146,1,2,2000-04-04
655,146,11,2,2000-03-17
656,146,1,5,2000-01-30
657,146,9,3,2000-01-04
658,146,10,1,2000-06-07
659,147,11,5,2000-01-25
660,147,14,5,2000-06-21
661,147,4,1,2000-03-07
662,148,13,4,2000-06-09
663,148,5,4,2000-04-08
664,148,2,1,2000-05-14
665,148,4,2,2000-02-03
666,148,7,4,2000-02-05
667,148,9,3,2000-03-22
668,148,2,5,2000-03-30
669,149,2,3,2000-06-04
670,149,14,3,2000-02-01
671,149,14,5,2000-04-16
672,149,9,3,2000-06-07
673,149,12,2,2000-03-14
674,150,8,5,2000-01-29
675,150,13,1,2000-06-07
1023,228,14,3,2000-01-09
1024,229,4,2,2000-05-19
1025,229,7,1,2000-03-11
1026,230,3,3,2000-01-08
1027,230,14,4,2000-01-01
1028,230,12,1,2000-01-20
1029,230,11,3,2000-04-30
1030,230,14,2,2000-01-02
1031,230,5,1,2000-04-14
1032,230,14,1,2000-04-04
1033,230,5,1,2000-01-09
1034,231,5,4,2000-03-03
1035,231,4,3,2000-06-08
1036,231,6,5,2000-01-25
1037,231,11,3,2000-04-29
1038,231,9,3,2000-03-29
1039,232,2,4,2000-01-13
1040,233,9,4,2000-03-28
1041,233,10,1,2000-02-14
1042,234,10,2,2000-05-25
1043,234,3,2,2000-04-24
1044,234,10,2,2000-02-09
1045,235,7,3,2000-01-26
1046,235,1,5,2000-03-08
1047,235,3,2,2000-03-27
1048,235,11,,2000-01-01
1049,235,13,4,2000-04-21
1050,235,7,2,2000-06-14
1051,235,12,2,2000-05-12
1052,235,1,3,2000-06-06
1053,236,9,5,2000-02-19
1054,237,4,1,2000-02-09
1055,238,8,5,2000-01-09
1056,238,2,,2000-03-17
1057,238,13,4,2000-04-25
1058,238,12,3,2000-04-09
1059,238,1,2,2000-06-14
1060,239,7,2,2000-03-28
1061,239,1,2,2000-02-25
1062,239,10,5,2000-06-19
1063,239,7,5,2000-01-26
1064,239,7,3,2000-02-17
1065,240,7,4,2000-02-26
1066,241,9,1,2000-02-17
1067,241,10,3,2000-04-09
1068,241,11,4,2000-01-13
1069,241,4,2,2000-03-25
1070,241,14,2,2000-04-03
1071,241,9,4,2000-04-20
1072,241,10,2,2000-01-18
1073,242,6,3,2000-06-07
1074,242,2,4,2000-05-29
1075,242,1,1,2000-04-03
1076,243,3,5,2000-06-05
1077,243,6,1,2000-06-24
1078,243,11,4,2000-06-16
1079,243,14,4,2000-05-23
1080,244,7,3,2000-03-03
1081,244,12,3,2000-04-17
1082,244,3,4,2000-02-03
1083,245,2,5,2000-05-11
1084,245,9,5,2000-05-21
1085,245,12,4,2000-01-20
1086,245,9,1,2000-03-31
1087,245,7,5,2000-06-23
1088,245,1,1,2000-06-02
1089,246,1,2,2000-04-12
1090,246,2,5,2000-04-18
1091,247,5,3,2000-01-28
1092,247,8,3,2000-04-16
1093,247,11,4,2000-02-28
1094,247,6,2,2000-03-31
1095,248,3,1,2000-03-25
1096,248,12,3,2000-02-12
1097,248,14,1,2000-05-01
1098,248,4,4,2000-02-11
1099,249,7,5,2000-03-18
1100,249,9,4,2000-06-22
1101,250,5,3,2000-03-19
1102,250,9,3,2000-01-14
1103,251,9,4,2000-02-27
1104,251,7,3,2000-01-19
1105,251,7,1,2000-04-02
1106,251,3,2,2000-06-15
1107,252,9,3,2000-01-09
1108,252,4,5,2000-03-03
1109,252,7,4,2000-06-06
1110,252,3,2,2000-03-26
1111,253,13,2,2000-03-16
1112,253,7,4,2000-01-09
1113,253,11,3,2000-03-22
1114,253,13,1,2000-03-10
1115,253,1,2,2000-01-08
1116,253,10,2,2000-04-18
1117,254,13,4,2000-06-25
1118,254,12,5,2000-04-23
1119,254,12,5,2000-02-27
1120,254,12,3,2000-03-27
1121,255,1,4,2000-05-05
1122,256,2,2,2000-04-25
1123,257,10,4,2000-03-02
1124,258,10,5,2000-03-28
1125,258,1,3,2000-03-13
1126,259,8,1,2000-01-01
1127,259,3,1,2000-04-10
1128,259,3,3,2000-02-11
1129,259,2,1,2000-03-23
1130,259,6,4,2000-05-20
1131,259,2,3,2000-04-14
1132,259,4,1,2000-06-18
1133,260,9,3,2000-04-02
1134,260,11,3,2000-05-14
1135,260,2,1,2000-04-02
1136,260,10,2,2000-01-07
1137,260,12,2,2000-02-01
1138,260,14,4,2000-01-13
1139,261,3,2,2000-04-09
1140,261,8,4,2000-02-04
1141,262,6,4,2000-06-11
1142,262,10,2,2000-02-14
1143,262,6,2,2000-06-11
1144,262,14,5,2000-05-14
1145,262,12,1,2000-05-20
1146,262,10,5,2000-03-02
1147,262,3,5,2000-01-31
1148,262,5,2,2000-04-28
1149,263,14,1,2000-06-23
1150,263,4,1,2000-06-04
1151,263,14,1,2000-05-16
1152,264,5,4,2000-03-19
1153,264,2,2,2000-01-10
1154,264,7,5,2000-05-05
1155,264,11,4,2000-01-02
1156,264,12,2,2000-05-03
1157,264,2,1,2000-03-31
1158,265,12,4,2000-01-16
1159,265,6,4,2000-01-04
1160,265,6,1,2000-02-15
1161,265,7,4,2000-01-03
1162,265,10,1,2000-04-04
1163,265,4,5,2000-03-19
1164,266,11,1,2000-01-11
1165,266,6,2,2000-03-14
1166,266,2,1,2000-06-21
1167,267,2,1,2000-04-30
1168,267,9,2,2000-01-24
1169,267,11,2,2000-03-12
1170,268,11,2,2000-06-01
1171,268,7,3,2000-02-17
1172,268,11,1,2000-03-11
1173,268,11,1,2000-03-15
1174,269,12,5,2000-05-24
1175,270,5,5,2000-03-20
1176,270,12,1,2000-02-22
1177,270,4,1,2000-02-02
1178,270,5,5,2000-06-21
1179,270,6,5,2000-06-26
1180,271,9,1,2000-02-15
1181,271,10,4,2000-06-14
1182,271,10,2,2000-02-19
1183,271,13,2,2000-01-13
1184,271,7,5,2000-04-09
1185,272,2,3,2000-02-03
1186,272,4,1,2000-03-10
1187,272,9,1,2000-04-13
1188,272,6,1,2000-01-28
1189,272,10,3,2000-06-01
1190,272,5,5,2000-05-13
1191,273,4,1,2000-01-22
1192,273,8,5,2000-03-28
1193,274,1,1,2000-05-05
1194,274,6,5,2000-01-29
1195,274,1,1,2000-05-28
1196,275,7,1,2000-03-03
1197,276,13,4,2000-04-16
1198,276,6,2,2000-06-21
1199,276,12,3,2000-03-12
1200,276,3,1,2000-02-27
1201,276,8,4,2000-02-12
1202,277,9,4,2000-03-12
1203,277,2,5,2000-02-23
1204,277,9,4,2000-03-12
1205,277,13,3,2000-06-27
1206,277,14,1,2000-01-07
1207,277,8,2,2000-06-05
1208,278,7,2,2000-05-10
1209,278,13,4,2000-02-20
1210,278,9,1,2000-02-07
1211,278,5,1,2000-05-20
1212,279,11,5,2000-04-23
1213,279,14,3,2000-03-18
1214,279,10,1,2000-05-20
1215,279,11,5,2000-02-03
1216,279,4,5,2000-03-09
1217,279,4,1,2000-01-28
1218,279,10,5,2000-06-08
1219,280,5,5,2000-03-04
1220,280,7,3,2000-02-28
1221,280,2,2,2000-06-14
1222,280,2,5,2000-02-19
1223,281,4,2,2000-05-19
1224,281,6,5,2000-03-02
1225,281,4,2,2000-06-10
1226,282,10,5,2000-03-21
1227,283,9,1,2000-06-23
1228,283,13,3,2000-05-18
1229,284,13,3,2000-02-25
1230,284,5,5,2000-05-27
1231,284,3,2,2000-03-22
1232,284,1,3,2000-02-13
1233,284,7,2,2000-02-16
1234,284,5,1,2000-03-21
1235,284,7,1,2000-04-27
1236,284,9,5,2000-01-19
1237,285,1,4,2000-04-03
1238,285,3,1,2000-02-01
1239,285,7,1,2000-04-28
1240,286,9,1,2000-02-24
1241,286,11,5,2000-05-08
1242,286,9,5,2000-01-28
1243,286,4,5,2000-02-07
1244,286,1,1,2000-06-26
1245,286,14,5,2000-06-07
1246,287,8,3,2000-01-23
1247,287,1,2,2000-02-03
1248,287,12,5,2000-01-27
1249,287,3,2,2000-04-06
1250,287,8,3,2000-06-23
1251,287,9,5,2000-04-06
1252,287,8,4,2000-01-12
1253,288,13,2,2000-03-25
1254,288,4,4,2000-02-25
1255,289,3,4,2000-04-02
1256,289,12,3,2000-03-16
1257,289,4,4,2000-01-01
1258,289,7,4,2000-02-12
1259,289,10,2,2000-03-26
1260,290,7,2,2000-02-15
1261,290,5,3,2000-04-10
1262,290,11,2,2000-03-20
1263,290,14,2,2000-05-11
1264,290,3,1,2000-02-13
1265,290,8,5,2000-04-10
1266,290,4,5,2000-02-24
1267,291,4,5,2000-02-10
1268,291,13,4,2000-06-04
1269,291,12,3,2000-01-24
1270,292,10,1,2000-05-17
1271,292,4,3,2000-06-16
1272,292,14,3,2000-03-28
1273,292,12,4,2000-01-23
1274,292,4,1,2000-06-16
1275,292,12,2,2000-02-28
1276,292,6,1,2000-03-27
1277,292,3,4,2000-03-14
1278,293,14,5,2000-06-05
1279,294,10,4,2000-02-19
1280,294,2,2,2000-05-23
1281,295,2,2,2000-03-19
1282,295,11,2,2000-06-24
1283,296,13,3,2000-02-10
1284,296,8,1,2000-05-06
1285,297,2,3,2000-04-02
1286,298,6,5,2000-05-27
1287,298,10,3,2000-04-07
1288,298,12,1,2000-04-04
1289,299,3,3,2000-03-17
1290,299,5,3,2000-03-23
1291,299,8,1,2000-03-03
1292,299,2,2,2000-05-03
1293,299,7,3,2000-01-22
1294,299,9,1,2000-04-10
1295,299,7,3,2000-02-16
1296,299,11,3,2000-03-07
1297,300,6,1,2000-05-12
1298,300,3,3,2000-06-01
1299,300,11,2,2000-05-23
1300,301,11,5,2000-03-28
1301,301,4,4,2000-02-09
1302,301,7,2,2000-04-30
1303,302,13,5,2000-03-20
1304,302,14,5,2000-06-15
1305,302,9,3,2000-02-05
1306,302,1,4,2000-05-14
1307,303,3,1,2000-04-14
1308,303,9,3,2000-02-08
1309,304,14,2,2000-06-14
1310,304,9,3,2000-03-14
1311,304,13,1,2000-05-27
1312,304,11,1,2000-06-26
1313,304,5,4,2000-03-21
1314,305,1,1,2000-05-29
1315,305,5,5,2000-03-11
1316,305,1,1,2000-01-05
1317,306,1,3,2000-03-02
1318,307,1,4,2000-01-16
1319,307,14,2,2000-04-30
1320,307,10,5,2000-04-30
1321,308,9,3,2000-04-16
1322,308,9,4,2000-01-20
1323,308,11,5,2000-06-24
1324,308,3,1,2000-06-09
1325,308,6,3,2000-04-05
1326,308,13,5,2000-05-12
1327,308,6,4,2000-02-09
1328,309,3,2,2000-03-06
1329,309,9,3,2000-06-11
1330,309,10,1,2000-04-07
1331,309,5,2,2000-01-11
1332,309,13,5,2000-02-09
1333,309,12,5,2000-03-22
1334,310,8,3,2000-01-20
1335,310,12,2,2000-04-15
1336,310,6,3,2000-03-28
1337,310,6,4,2000-04-17
1338,310,3,1,2000-06-12
1339,310,10,2,2000-05-25
1340,311,9,3,2000-02-14
1341,311,2,3,2000-01-15
1342,311,1,1,2000-06-24
1343,311,13,5,2000-02-24
1344,311,8,2,2000-01-11
1345,311,10,3,2000-05-06
1346,311,1,3,2000-01-05
1347,311,13,2,2000-06-13
1348,312,6,4,2000-02-16
1349,312,6,5,2000-03-30
1350,312,4,3,2000-05-12
1351,313,5,5,2000-03-07
1352,313,8,5,2000-01-13
1353,313,3,4,2000-06-18
1354,313,13,2,2000-02-19
1355,313,5,2,2000-01-26
1356,313,7,4,2000-04-29
1357,314,11,2,2000-01-16
1358,314,5,5,2000-03-05
1359,315,11,2,2000-06-14
1360,315,3,4,2000-05-02
1361,315,14,2,2000-05-04
1362,315,14,5,2000-03-16
1363,316,10,3,2000-04-11
1364,317,10,4,2000-05-21
1365,317,9,2,2000-05-17
1366,317,4,4,2000-04-20
1367,317,14,4,2000-03-14
1368,317,2,3,2000-02-12
1369,317,1,4,2000-01-07
1370,317,10,1,2000-05-19
945,207,1,1,2000-06-01
946,208,11,5,2000-06-08
947,208,5,5,2000-06-13
948,208,7,5,2000-04-21
949,208,8,4,2000-02-20
950,208,7,3,2000-02-06
951,209,7,4,2000-03-20
952,209,7,4,2000-05-07
953,209,4,2,2000-02-24
954,210,1,4,2000-04-24
955,210,12,3,2000-04-17
956,211,2,5,2000-03-21
957,212,12,4,2000-05-14
958,212,12,4,2000-02-24
959,213,6,1,2000-03-26
960,214,9,3,2000-04-14
961,214,7,5,2000-03-23
962,214,6,4,2000-05-08
963,214,2,4,2000-01-03
964,214,14,5,2000-04-08
965,214,2,5,2000-01-18
966,215,14,5,2000-03-02
967,215,10,4,2000-01-07
968,215,6,1,2000-04-19
969,216,10,1,2000-04-05
970,216,9,2,2000-06-13
971,216,1,3,2000-06-26
972,216,6,1,2000-03-27
973,217,9,3,2000-04-19
974,217,10,3,2000-05-23
975,217,9,5,2000-05-30
976,217,2,1,2000-06-03
977,217,13,5,2000-03-24
978,217,6,1,2000-06-07
979,218,6,2,2000-06-18
980,219,8,2,2000-03-30
981,219,11,1,2000-05-06
982,219,3,3,2000-06-15
983,220,14,2,2000-05-15
984,220,4,5,2000-05-27
985,220,14,1,2000-01-04
986,220,6,3,2000-02-18
987,220,3,3,2000-05-03
988,220,12,5,2000-01-30
989,220,14,5,2000-02-16
990,221,14,2,2000-02-24
991,221,1,2,2000-04-18
992,221,12,4,2000-01-30
993,221,2,4,2000-05-28
994,221,13,4,2000-02-05
995,222,7,3,2000-04-27
996,222,7,3,2000-06-01
997,222,13,4,2000-06-26
998,222,10,3,2000-05-04
999,222,14,5,2000-03-21
1000,223,10,5,2000-03-19
1001,223,12,3,2000-04-08
1002,223,1,5,2000-01-05
1003,224,5,2,2000-05-21
1004,224,8,1,2000-01-03
1005,224,1,1,2000-06-01
1006,224,10,1,2000-02-11
1007,224,10,3,2000-03-29
1008,224,12,5,2000-03-21
1009,224,11,1,2000-01-20
1010,225,13,4,2000-03-19
1011,225,14,3,2000-06-22
1012,225,11,4,2000-02-24
1013,225,1,5,2000-04-11
1014,226,5,4,2000-06-10
1015,226,12,3,2000-04-10
1016,227,2,1,2000-04-12
1017,227,9,5,2000-06-19
1018,227,12,5,2000-05-30
1019,227,6,3,2000-06-21
1020,227,4,1,2000-03-27
1021,227,2,2,2000-02-01
1022,227,1,3,2000-03-04
1,10000,3,1,2000-01-10
2,10000,2,2,2000-01-12
3,10000,14,4,2000-06-27
4,10000,2,4,2000-05-09
5,10000,3,2,2000-02-26
6,10000,8,1,2000-03-26
7,2,2,3,2000-03-20
8,2,14,3,2000-05-04
9,2,10,4,2000-03-09
10,3,10,1,2000-06-06
11,3,7,5,2000-01-01
12,3,11,2,2000-02-23
13,4,4,5,2000-05-07
14,4,13,3,2000-02-08
15,4,2,3,2000-03-13
16,4,10,2,2000-01-09
17,4,2,1,2000-05-29
18,4,7,1,2000-06-19
19,4,13,5,2000-04-24
20,5,12,2,2000-06-28
